epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1676,0.77214,1.26405,1.17492,0.71293,0.50496,0.48319,0.43777,0.37025,0.80749,0.8957,0.00332099,0.00332099,0.00332099
2,89.4425,0.72599,0.76676,1.08324,0.5718,0.63112,0.58199,0.51216,0.38112,0.62771,0.89963,0.00662138,0.00662138,0.00662138
3,126.073,0.77339,0.79542,1.0837,0.5604,0.7773,0.57626,0.49219,0.45979,1.14807,0.93166,0.00988878,0.00988878,0.00988878
4,162.282,0.79267,0.78231,1.08726,0.57761,0.7208,0.56709,0.48164,0.51131,1.03998,0.96954,0.0098515,0.0098515,0.0098515
5,198.267,0.79742,0.77214,1.07674,0.49607,0.51215,0.46644,0.39566,0.50163,1.06528,0.98549,0.009802,0.009802,0.009802
6,234.257,0.77343,0.7315,1.0729,0.54648,0.6122,0.50665,0.44019,0.49601,1.28576,0.9638,0.0097525,0.0097525,0.0097525
7,270.277,0.75509,0.6829,1.06181,0.44336,0.73009,0.41402,0.34655,0.48041,2.73053,0.95338,0.009703,0.009703,0.009703
8,306.49,0.75368,0.67239,1.05088,0.58893,0.73306,0.58835,0.52141,0.42839,0.71891,0.92822,0.0096535,0.0096535,0.0096535
9,342.664,0.75,0.67181,1.04421,0.65974,0.75426,0.6857,0.61909,0.40173,0.57163,0.90962,0.009604,0.009604,0.009604
10,378.739,0.72734,0.65541,1.04201,0.56208,0.71498,0.61519,0.55771,0.39764,0.60129,0.90439,0.0095545,0.0095545,0.0095545
11,414.794,0.72482,0.63812,1.04157,0.5826,0.82546,0.65167,0.58381,0.395,0.6885,0.90879,0.009505,0.009505,0.009505
12,450.783,0.71804,0.63279,1.0394,0.73241,0.59965,0.58686,0.52245,0.44379,0.6435,0.94113,0.0094555,0.0094555,0.0094555
13,486.929,0.7032,0.6073,1.03426,0.58555,0.83426,0.63165,0.57661,0.37186,0.62804,0.89392,0.009406,0.009406,0.009406
14,523.03,0.69371,0.61627,1.02163,0.68887,0.81695,0.75815,0.69834,0.35696,0.58782,0.89313,0.0093565,0.0093565,0.0093565
15,559.093,0.69733,0.59486,1.02069,0.72301,0.84103,0.80524,0.72967,0.37553,0.47886,0.89386,0.009307,0.009307,0.009307
16,595.221,0.6933,0.60578,1.01587,0.6694,0.63483,0.64836,0.58212,0.39148,0.55824,0.91149,0.0092575,0.0092575,0.0092575
17,631.3,0.70011,0.59961,1.01845,0.67851,0.86045,0.74387,0.68257,0.36508,0.51591,0.89263,0.009208,0.009208,0.009208
18,667.437,0.65502,0.57411,1.00964,0.72549,0.86745,0.78064,0.71789,0.35963,0.51057,0.89077,0.0091585,0.0091585,0.0091585
19,703.274,0.65171,0.56934,1.01023,0.6923,0.73441,0.68236,0.61991,0.38089,0.54998,0.89831,0.009109,0.009109,0.009109
20,739.33,0.65032,0.56157,1.00162,0.7808,0.81587,0.80652,0.74159,0.34351,0.43192,0.88701,0.0090595,0.0090595,0.0090595
21,775.311,0.64133,0.54994,1.00469,0.7058,0.79962,0.69201,0.63779,0.3514,0.63331,0.88521,0.00901,0.00901,0.00901
22,811.555,0.68189,0.57864,1.00405,0.63429,0.89672,0.72096,0.66713,0.33693,0.52895,0.883,0.0089605,0.0089605,0.0089605
23,847.547,0.64784,0.54882,1.00473,0.69333,0.90626,0.74499,0.68591,0.34431,0.60964,0.88437,0.008911,0.008911,0.008911
24,883.697,0.65513,0.55908,1.0081,0.6981,0.89912,0.71234,0.65469,0.34226,0.78373,0.88568,0.0088615,0.0088615,0.0088615
25,919.606,0.64132,0.54174,1.00377,0.70846,0.89672,0.75917,0.70104,0.33139,0.49683,0.87655,0.008812,0.008812,0.008812
26,955.589,0.62625,0.53189,0.99551,0.70954,0.75694,0.7495,0.69761,0.34288,0.44829,0.88754,0.0087625,0.0087625,0.0087625
27,991.596,0.63697,0.54752,0.99736,0.63533,0.8386,0.67676,0.62101,0.34787,0.79393,0.88987,0.008713,0.008713,0.008713
28,1027.73,0.62066,0.54281,0.99962,0.74705,0.8393,0.78948,0.72978,0.34055,0.46122,0.88302,0.0086635,0.0086635,0.0086635
29,1063.59,0.63888,0.54259,0.99584,0.67692,0.83952,0.74741,0.69466,0.33553,0.50666,0.88112,0.008614,0.008614,0.008614
30,1099.54,0.6096,0.51728,0.98735,0.68503,0.85994,0.74528,0.68765,0.33532,0.52929,0.88145,0.0085645,0.0085645,0.0085645
31,1135.51,0.61472,0.52476,0.98645,0.75264,0.75617,0.76372,0.70265,0.33196,0.44572,0.882,0.008515,0.008515,0.008515
32,1171.47,0.63258,0.53399,0.98568,0.71141,0.7418,0.70575,0.64587,0.3385,0.5034,0.88416,0.0084655,0.0084655,0.0084655
33,1207.57,0.60692,0.51011,0.98729,0.6879,0.84489,0.7098,0.65688,0.32606,0.59153,0.87569,0.008416,0.008416,0.008416
34,1243.58,0.61247,0.51362,0.98973,0.6642,0.88161,0.73856,0.68966,0.32479,0.48971,0.87728,0.0083665,0.0083665,0.0083665
35,1279.51,0.60577,0.51737,0.98363,0.723,0.84672,0.74268,0.68334,0.33566,0.50606,0.87981,0.008317,0.008317,0.008317
36,1315.37,0.58922,0.51309,0.98355,0.72123,0.86892,0.70703,0.64962,0.31658,0.69757,0.869,0.0082675,0.0082675,0.0082675
37,1351.17,0.60351,0.51741,0.98906,0.73443,0.8941,0.75891,0.70628,0.32245,0.52515,0.87245,0.008218,0.008218,0.008218
38,1387.18,0.59672,0.51403,0.98307,0.70473,0.8828,0.76577,0.71117,0.33032,0.52137,0.87391,0.0081685,0.0081685,0.0081685
39,1423.23,0.61131,0.50642,0.98078,0.70415,0.90893,0.78206,0.72423,0.32634,0.53629,0.87352,0.008119,0.008119,0.008119
40,1459.25,0.60155,0.50479,0.9808,0.76992,0.81038,0.79747,0.74511,0.31526,0.46568,0.86731,0.0080695,0.0080695,0.0080695
41,1495.26,0.61274,0.52076,0.97815,0.75547,0.88318,0.787,0.73531,0.31599,0.44988,0.87035,0.00802,0.00802,0.00802
42,1531.28,0.60624,0.50872,0.97807,0.70858,0.9173,0.76806,0.70831,0.31928,0.57108,0.87021,0.0079705,0.0079705,0.0079705
43,1567.48,0.60085,0.51257,0.97926,0.73337,0.8951,0.77587,0.7272,0.31454,0.47631,0.86923,0.007921,0.007921,0.007921
44,1603.61,0.60157,0.51189,0.98165,0.70306,0.81899,0.74489,0.69106,0.31655,0.53815,0.87214,0.0078715,0.0078715,0.0078715
45,1639.72,0.59435,0.49918,0.97321,0.77412,0.82878,0.81116,0.75748,0.31444,0.41339,0.87184,0.007822,0.007822,0.007822
46,1675.74,0.59156,0.50073,0.97956,0.71279,0.87731,0.76385,0.71162,0.31831,0.51628,0.87246,0.0077725,0.0077725,0.0077725
47,1711.66,0.58617,0.4923,0.97523,0.70644,0.90553,0.75977,0.70661,0.30712,0.47465,0.8683,0.007723,0.007723,0.007723
48,1747.85,0.5771,0.50206,0.96945,0.68016,0.91764,0.72243,0.67072,0.31024,0.64127,0.86895,0.0076735,0.0076735,0.0076735
49,1783.85,0.57891,0.50095,0.97137,0.73796,0.89715,0.76825,0.71792,0.31495,0.50957,0.87115,0.007624,0.007624,0.007624
50,1819.8,0.57817,0.49328,0.97269,0.75516,0.87292,0.76064,0.707,0.31354,0.56748,0.87437,0.0075745,0.0075745,0.0075745
51,1855.75,0.56535,0.4758,0.97252,0.71492,0.83149,0.76373,0.71083,0.32457,0.4723,0.8753,0.007525,0.007525,0.007525
52,1891.82,0.56907,0.47544,0.96753,0.71619,0.82832,0.78159,0.73197,0.30294,0.45,0.86865,0.0074755,0.0074755,0.0074755
53,1927.96,0.56769,0.48357,0.96783,0.67597,0.92311,0.75753,0.70816,0.30522,0.51992,0.87172,0.007426,0.007426,0.007426
54,1963.97,0.576,0.48234,0.97192,0.68574,0.88935,0.71647,0.66757,0.30778,0.62813,0.86779,0.0073765,0.0073765,0.0073765
55,1999.97,0.56822,0.47065,0.9691,0.75217,0.88533,0.77973,0.72772,0.30666,0.49909,0.8687,0.007327,0.007327,0.007327
56,2036.04,0.56268,0.46679,0.96906,0.70719,0.87863,0.70958,0.66009,0.29776,0.64435,0.86397,0.0072775,0.0072775,0.0072775
57,2072.07,0.5741,0.4992,0.96551,0.6758,0.90479,0.71883,0.66991,0.31049,0.6036,0.87407,0.007228,0.007228,0.007228
58,2108.06,0.54743,0.4668,0.96024,0.67914,0.93036,0.74398,0.69436,0.2982,0.57403,0.86554,0.0071785,0.0071785,0.0071785
59,2144.01,0.55172,0.47959,0.96506,0.6485,0.834,0.68216,0.63585,0.29685,0.64765,0.86569,0.007129,0.007129,0.007129
60,2180,0.58045,0.48851,0.96596,0.69379,0.89607,0.73655,0.68975,0.29687,0.56675,0.86122,0.0070795,0.0070795,0.0070795
61,2215.84,0.55283,0.47253,0.96253,0.68314,0.85403,0.74919,0.70343,0.29519,0.494,0.86586,0.00703,0.00703,0.00703
62,2251.77,0.55275,0.47441,0.96562,0.70247,0.88875,0.73814,0.69558,0.29709,0.55349,0.8648,0.0069805,0.0069805,0.0069805
63,2287.89,0.56638,0.47052,0.96693,0.64444,0.8874,0.6999,0.65552,0.29239,0.59557,0.86608,0.006931,0.006931,0.006931
64,2323.86,0.57244,0.48433,0.96659,0.72459,0.88076,0.77296,0.72482,0.30015,0.43497,0.86736,0.0068815,0.0068815,0.0068815
65,2359.86,0.55564,0.47169,0.96205,0.715,0.86052,0.75832,0.70909,0.29798,0.47801,0.86186,0.006832,0.006832,0.006832
66,2395.79,0.55056,0.45729,0.96079,0.70423,0.91469,0.76631,0.71778,0.29999,0.49065,0.86352,0.0067825,0.0067825,0.0067825
67,2431.88,0.55448,0.46473,0.9619,0.71012,0.91235,0.76139,0.71294,0.31032,0.4822,0.87091,0.006733,0.006733,0.006733
68,2467.91,0.55005,0.46992,0.95808,0.75776,0.84432,0.75848,0.70607,0.29901,0.49393,0.86181,0.0066835,0.0066835,0.0066835
69,2503.87,0.54785,0.45515,0.95934,0.71608,0.83575,0.7243,0.67239,0.29656,0.5732,0.8634,0.006634,0.006634,0.006634
70,2539.89,0.54487,0.45886,0.95923,0.67963,0.8948,0.7317,0.68371,0.30092,0.55003,0.86808,0.0065845,0.0065845,0.0065845
71,2575.92,0.54978,0.46589,0.95505,0.70909,0.78434,0.68469,0.64299,0.2952,0.53089,0.86164,0.006535,0.006535,0.006535
72,2611.98,0.55447,0.46514,0.95983,0.67677,0.7955,0.71367,0.67173,0.28947,0.49243,0.86141,0.0064855,0.0064855,0.0064855
73,2648.29,0.56535,0.4704,0.9608,0.69777,0.88208,0.71953,0.67791,0.29027,0.67399,0.86005,0.006436,0.006436,0.006436
74,2684.4,0.54739,0.46122,0.95288,0.66634,0.85676,0.71402,0.67172,0.29261,0.54411,0.86573,0.0063865,0.0063865,0.0063865
75,2720.31,0.53102,0.44083,0.95603,0.69294,0.87797,0.7371,0.6929,0.29421,0.67278,0.86179,0.006337,0.006337,0.006337
76,2756.29,0.54394,0.46392,0.95756,0.71392,0.89308,0.73718,0.68893,0.29583,0.62889,0.8656,0.0062875,0.0062875,0.0062875
77,2792.29,0.53867,0.45433,0.95667,0.70182,0.85991,0.74342,0.69955,0.29317,0.58248,0.86457,0.006238,0.006238,0.006238
78,2828.38,0.5575,0.4725,0.96614,0.74266,0.7685,0.74033,0.69275,0.2993,0.48599,0.86946,0.0061885,0.0061885,0.0061885
79,2864.42,0.54456,0.45803,0.94982,0.66488,0.8706,0.73284,0.68636,0.29895,0.56972,0.86655,0.006139,0.006139,0.006139
80,2900.42,0.53247,0.4485,0.95387,0.69392,0.82853,0.73465,0.69191,0.29319,0.49295,0.86678,0.0060895,0.0060895,0.0060895
81,2936.44,0.53863,0.45331,0.95326,0.72075,0.88567,0.75241,0.70904,0.28769,0.49035,0.8615,0.00604,0.00604,0.00604
82,2972.6,0.54263,0.46325,0.9542,0.67701,0.88689,0.71734,0.67417,0.29345,0.60239,0.86647,0.0059905,0.0059905,0.0059905
83,3008.6,0.5413,0.45385,0.95409,0.68484,0.91429,0.72363,0.68142,0.28627,0.59327,0.86455,0.005941,0.005941,0.005941
84,3044.68,0.54533,0.46056,0.95203,0.70115,0.85113,0.74806,0.7024,0.28777,0.49325,0.85973,0.0058915,0.0058915,0.0058915
85,3080.62,0.53561,0.45119,0.95159,0.70706,0.91975,0.74757,0.70113,0.28809,0.50812,0.85896,0.005842,0.005842,0.005842
86,3116.61,0.53844,0.45537,0.9541,0.70155,0.75572,0.71495,0.67281,0.28878,0.52353,0.85894,0.0057925,0.0057925,0.0057925
87,3152.68,0.5244,0.43369,0.95405,0.68729,0.84748,0.72117,0.67855,0.28528,0.55862,0.8564,0.005743,0.005743,0.005743
88,3188.58,0.52606,0.4475,0.94764,0.67626,0.83137,0.71522,0.67305,0.28215,0.57507,0.85953,0.0056935,0.0056935,0.0056935
89,3224.47,0.52139,0.43993,0.94947,0.65147,0.88996,0.71088,0.67103,0.28108,0.65592,0.8574,0.005644,0.005644,0.005644
90,3260.45,0.55645,0.47344,0.95481,0.65446,0.82747,0.70831,0.66821,0.27958,0.61199,0.85645,0.0055945,0.0055945,0.0055945
91,3296.39,0.53497,0.45145,0.9477,0.65582,0.84112,0.71474,0.67416,0.28018,0.53165,0.85706,0.005545,0.005545,0.005545
92,3332.56,0.53966,0.45509,0.94949,0.72598,0.74887,0.75105,0.70736,0.28515,0.46481,0.85879,0.0054955,0.0054955,0.0054955
93,3368.62,0.52195,0.43932,0.94671,0.71162,0.85866,0.75375,0.71141,0.28037,0.51764,0.8579,0.005446,0.005446,0.005446
94,3404.64,0.52246,0.4373,0.94645,0.66066,0.8654,0.73455,0.68913,0.28179,0.52876,0.8575,0.0053965,0.0053965,0.0053965
95,3440.6,0.51308,0.43966,0.94787,0.68775,0.84053,0.74224,0.70188,0.27914,0.51267,0.85655,0.005347,0.005347,0.005347
96,3476.65,0.53587,0.44979,0.94807,0.72813,0.85866,0.75896,0.71489,0.28742,0.48666,0.86298,0.0052975,0.0052975,0.0052975
97,3512.74,0.51921,0.43806,0.94529,0.71273,0.89525,0.75727,0.71327,0.28514,0.5175,0.86013,0.005248,0.005248,0.005248
98,3548.71,0.5153,0.44323,0.94493,0.69996,0.89358,0.74804,0.70284,0.28612,0.50546,0.85802,0.0051985,0.0051985,0.0051985
99,3584.93,0.52364,0.45034,0.94281,0.67344,0.84583,0.71094,0.65674,0.28829,0.55478,0.86006,0.005149,0.005149,0.005149
100,3620.89,0.51747,0.43898,0.94679,0.68795,0.82969,0.73345,0.69245,0.28068,0.5293,0.85643,0.0050995,0.0050995,0.0050995
101,3656.88,0.50586,0.44118,0.94568,0.69747,0.84794,0.72481,0.6817,0.28159,0.57926,0.85819,0.00505,0.00505,0.00505
102,3693.08,0.51393,0.43151,0.94252,0.68035,0.77279,0.69037,0.64868,0.28816,0.56505,0.86165,0.0050005,0.0050005,0.0050005
103,3729.03,0.5032,0.42124,0.94315,0.70071,0.82682,0.7128,0.66828,0.28822,0.58587,0.86085,0.004951,0.004951,0.004951
104,3765.16,0.53505,0.43649,0.94615,0.70428,0.85236,0.73241,0.69175,0.28279,0.5473,0.85847,0.0049015,0.0049015,0.0049015
105,3801.11,0.50512,0.42538,0.93941,0.70285,0.88618,0.7302,0.68714,0.28425,0.55141,0.86007,0.004852,0.004852,0.004852
106,3837.3,0.52741,0.44713,0.93869,0.7099,0.84884,0.74447,0.70159,0.27896,0.52774,0.85435,0.0048025,0.0048025,0.0048025
107,3873.42,0.50289,0.42664,0.93766,0.70661,0.81888,0.73044,0.69134,0.27986,0.50202,0.85545,0.004753,0.004753,0.004753
108,3909.48,0.508,0.43389,0.93974,0.66365,0.85247,0.71929,0.67904,0.27795,0.5613,0.85403,0.0047035,0.0047035,0.0047035
