epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1967.57,0.57854,0.48906,1.0063,0.65651,0.8966,0.68139,0.62991,0.32083,0.63475,0.88922,0.000848969,0.000848969,0.000848969
43,2014.24,0.56984,0.49382,1.00608,0.65564,0.89125,0.71473,0.6665,0.30926,0.57118,0.89131,0.000834822,0.000834822,0.000834822
44,2060.84,0.56778,0.49228,1.00965,0.68316,0.89835,0.76432,0.71374,0.31399,0.53844,0.89818,0.000820675,0.000820675,0.000820675
45,2107.35,0.55987,0.47156,0.99707,0.67343,0.82055,0.75959,0.70528,0.31149,0.45186,0.89599,0.000806528,0.000806528,0.000806528
46,2154.18,0.56054,0.48263,1.00548,0.62521,0.86156,0.72136,0.66551,0.31624,0.48095,0.89281,0.00079238,0.00079238,0.00079238
47,2200.71,0.55415,0.46596,0.99801,0.63215,0.85616,0.70514,0.65165,0.32161,0.52096,0.89948,0.000778233,0.000778233,0.000778233
48,2247.21,0.5421,0.47358,0.9894,0.66675,0.87393,0.73351,0.68605,0.29943,0.57897,0.88554,0.000764086,0.000764086,0.000764086
49,2293.61,0.54292,0.47118,0.99328,0.64869,0.90735,0.7136,0.66294,0.30955,0.62091,0.89283,0.000749939,0.000749939,0.000749939
50,2340.64,0.54613,0.46548,0.99657,0.66909,0.90633,0.74486,0.69043,0.31022,0.5148,0.89064,0.000735792,0.000735792,0.000735792
51,2387.42,0.52922,0.44976,0.99376,0.68428,0.81186,0.74273,0.69321,0.30743,0.47493,0.89433,0.000721645,0.000721645,0.000721645
52,2434.17,0.53598,0.44998,0.99172,0.63619,0.88125,0.73155,0.68031,0.30309,0.48296,0.88952,0.000707498,0.000707498,0.000707498
53,2480.97,0.52823,0.45621,0.98562,0.6441,0.91983,0.72691,0.67846,0.29726,0.52173,0.88383,0.000693351,0.000693351,0.000693351
